Report_Period,Year,Quarter,Quarter_Num,Report_Date,Region,New_Cases,Cumulative_Cases,PLHIV_On_ART,Lost_To_Followup,LTFU_Percent,Deaths,VL_Tested,VL_Tested_Percent,VL_Suppressed,VL_Suppression_Percent,Percent_Of_Quarter,National_Total_Cases,National_Total_Deaths,National_PLHIV_On_ART,National_Diagnosed_PLHIV,National_VL_Suppression,Region_Area_km2,Centroid_Lat,Centroid_Lon,Month,Days_Since_Start,Is_2024,Is_2025,Cases_Per_km2,Treatment_Coverage_Rate,Case_Fatality_Rate,Regional_Share_National,Cases_Previous_Quarter,Cases_Growth_Rate,Deaths_Previous_Quarter,Deaths_Growth_Rate,Cases_MA2,Deaths_MA2,Cumulative_Deaths,Risk_Category,Treatment_Gap,VL_Performance_Score,Cases_QoQ_Change,Deaths_QoQ_Change,Cases_YoY,Is_Latest_Quarter
2024-Q1,2024,Q1,1,31/03/2024,BARMM,0,443,59,18,23,0,78,3,58,74,0.2,3409,302,79643,122241,88,7972.553368,6.864221021,122.6429707,3,0,1,0,0,13.31828442,0,0,0,0,0,0,0,0,0,Low,384,45.6,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,BARMM,0,474,103,57,36,0,21,20,16,76,1,5321,308,84086,127217,88,7972.553368,6.864221021,122.6429707,6,91,1,0,0,21.72995781,0,0,0,0,0,0,0,0,0,Low,371,53.6,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,BARMM,0,496,79,26,25,0,1,1,0,0,0.5,4595,459,88544,131335,88,7972.553368,6.864221021,122.6429707,9,183,1,0,0,15.92741935,0,0,0,0,0,0,0,0,0,Low,417,0.4,0,0,0,0
2024-Q4,2024,Q4,4,31/12/2024,BARMM,0,527,83,33,28,4,1,1,0,0,1,4245,419,90854,135026,88,7972.553368,6.864221021,122.6429707,12,275,1,0,0,15.74952562,0,0,0,0,0,0,0,2,4,Low,444,0.4,0,4,0,0
2025-Q1,2025,Q1,1,31/03/2025,BARMM,0,573,92,46,33,4,1,1,1,100,1,5101,145,92712,139610,88,7972.553368,6.864221021,122.6429707,3,365,0,1,0,16.05584642,0,0,0,0,4,0,0,4,8,Low,481,60.4,0,0,0,0
2025-Q2,2025,Q2,2,30/06/2025,BARMM,0,602,103,57,35,0,21,20,16,76,1,4979,161,95556,144192,87,7972.553368,6.864221021,122.6429707,6,456,0,1,0,17.10963455,0,0,0,0,4,-100,0,2,8,Low,499,53.6,0,-4,0,0
2025-Q3,2025,Q3,3,30/09/2025,BARMM,0,681,354,110,24,33,224,63,205,92,1,5583,125,99696,149375,97,7972.553368,6.864221021,122.6429707,9,548,0,1,0,51.98237885,0,0,0,0,0,0,0,16.5,41,Low,327,80.4,0,33,0,1
2024-Q1,2024,Q1,1,31/03/2024,CAR,0,1117,873,184,17,0,187,23,167,89,1,3409,302,79643,122241,88,18056.63785,17.35920511,121.0489872,3,0,1,0,0,78.1557744,0,0,0,0,0,0,0,0,0,Low,244,62.6,0,0,0,0
2024-Q2,2024,Q2,2,30/06/2024,CAR,0,1172,917,191,17,0,181,20,169,93,1,5321,308,84086,127217,88,18056.63785,17.35920511,121.0489872,6,91,1,0,0,78.24232082,0,0,0,0,0,0,0,0,0,Low,255,63.8,0,0,0,0
2024-Q3,2024,Q3,3,30/09/2024,CAR,0,1218,974,186,16,0,260,27,237,91,1,4595,459,88544,131335,88,18056.63785,17.35920511,121.0489872,9,183,1,0,0,79.96715928,0,0,0,0,0,0,0,0,0,Low,244,65.4,0,0,0,0
